,unique_ID,experiment,position,track,cell_id,parent,max_slope,appearance_time,time_of_max_slope,start_inc,start_idx_var_value,y_pos_start_inc,y_pos_appearance,gfp_on,end_inc,end_idx_var_value,born_on,lifetime,slope_th,max_gfp,max_gfp_time,min_post_max,min_time_post_max,switch_like,becomes_positive,duration,magnitude_inc,category,long_enough_time,parent_start_inc
92,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,6,1,0.11432218551635742,460,720,710,6.9482574,84.72414,43.746834,735,760.0,7.4107504,False,125,0.04,9.773473739624023,1065.0,9.761981964111328,1075.0,True,True,50.0,0.46249294,switch,True,620
93,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,7,2,0.20658493041992188,475,660,640,7.1618805,194.95238,96.93104,650,770.0,9.53998,False,80,0.04,9.539979934692383,770.0,9.415292739868164,860.0,True,True,130.0,2.3780994,switch,True,790
94,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,8,3,0.1280202865600586,485,625,515,7.2875605,134.79167,121.586205,520,555.0,7.4374027,False,61,0.04,9.481130599975586,770.0,9.432283401489258,785.0,True,True,40.0,0.14984226,,False,515
95,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,9,6,0.1254749298095703,535,695,665,6.851185,104.40385,64.95082,690,785.0,8.473729,False,110,0.04,8.854379653930664,1000.0,8.592362403869629,1080.0,True,True,120.0,1.6225443,switch,True,710
96,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,10,1,0.17667341232299805,535,690,665,6.781436,50.179104,40.484848,695,775.0,8.713089,False,110,0.04,9.652158737182617,1080.0,9.652158737182617,1080.0,True,True,110.0,1.931653,switch,True,620
97,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,11,5,0.03097057342529297,560,895,,,,112.53571,770,,,False,79,0.04,7.618251323699951,870.0,7.525909423828125,945.0,False,True,,,gradual_on,True,715
98,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,12,4,0.1695876121520996,570,750,745,7.238736,174.07408,94.47458,750,910.0,9.319374,False,96,0.04,9.865041732788086,990.0,9.81589412689209,1030.0,True,True,165.0,2.080638,switch,True,700
99,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,13,7,0.0954427719116211,630,660,635,7.295735,202.16667,196.0,640,725.0,8.282567,False,45,0.04,8.54995059967041,845.0,8.549078941345215,850.0,True,True,90.0,0.98683214,,False,640
100,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,14,8,,635,,,,,250.45615,,,,True,29,0.04,9.852193832397461,775.0,9.852193832397461,775.0,False,False,,,,False,515
101,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,15,3,,650,,,,,242.33766,,,,True,33,0.04,9.406975746154785,770.0,9.315630912780762,785.0,False,False,,,,False,515
102,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,16,10,0.24142074584960938,660,695,675,6.806092,63.768116,62.06349,695,760.0,8.780685,False,85,0.04,9.022161483764648,1080.0,9.022161483764648,1080.0,True,True,85.0,1.9745936,switch,True,665
103,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,17,6,0.16233396530151367,665,840,715,6.9701037,99.85,88.276924,835,740.0,7.115853,False,84,0.04,9.491677284240723,1080.0,9.491677284240723,1080.0,False,True,25.0,0.14574909,gradual_on,True,710
104,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,18,11,0.07660961151123047,685,895,885,7.6362696,372.19684,199.0,760,885.0,7.6362696,False,48,0.04,7.8256449699401855,900.0,7.430706977844238,920.0,False,True,0.0,0.0,,False,
105,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,19,9,,690,,,,,118.26415,,,,True,79,0.04,9.379210472106934,1080.0,9.379210472106934,1080.0,False,False,,,,True,665
