,unique_ID,experiment,channel_width,last_valid_cell_time,first_valid_cell_time,position,track,cell_id,parent,cycle,start_time,start_length,end_time,end_length,cycle_duration,total_growth,avg_elong_rate
89,20240809__XY10_crop13__Track_4,20240809,1.3,1080,1040,XY10_crop13,Track_4,31,20,0,1040,2.5005998611450195,1080,2.806313991546631,40,0.30571413040161133,0.007642853260040283
90,20240809__XY10_crop13__Track_4,20240809,1.3,1080,1045,XY10_crop13,Track_4,32,12,0,1045,2.055480480194092,1080,2.303605794906616,35,0.24812531471252441,0.0070892947060721264
91,20240809__XY10_crop13__Track_4,20240809,1.3,1080,1080,XY10_crop13,Track_4,33,11,0,1080,1.8928284645080566,1080,1.8928284645080566,0,0.0,
92,20240809__XY10_crop12__Track_15,20240809,1.3,1080,0,XY10_crop12,Track_15,1,0,0,0,2.806313991546631,195,3.3143625259399414,195,0.5080485343933105,0.0026053770994528746
93,20240809__XY10_crop12__Track_15,20240809,1.3,1080,0,XY10_crop12,Track_15,1,0,1,200,1.7681910991668701,635,4.192373752593994,435,2.424182653427124,0.005572833686039365
94,20240809__XY10_crop12__Track_15,20240809,1.3,1080,0,XY10_crop12,Track_15,1,0,2,640,2.5005998611450195,890,4.7249226570129395,250,2.22432279586792,0.00889729118347168
95,20240809__XY10_crop12__Track_15,20240809,1.3,1080,0,XY10_crop12,Track_15,1,0,3,895,2.629087209701538,1080,4.488295555114746,185,1.859208345413208,0.010049774840071395
96,20240809__XY10_crop12__Track_15,20240809,1.3,1080,200,XY10_crop12,Track_15,2,1,0,200,1.6443843841552734,630,4.232492923736572,430,2.588108539581299,0.006018857068793718
97,20240809__XY10_crop12__Track_15,20240809,1.3,1080,200,XY10_crop12,Track_15,2,1,1,635,2.144014835357666,890,4.7249226570129395,255,2.5809078216552734,0.01012120714374617
98,20240809__XY10_crop12__Track_15,20240809,1.3,1080,200,XY10_crop12,Track_15,2,1,2,895,2.3970813751220703,1045,3.849843978881836,150,1.4527626037597656,0.009685084025065105
99,20240809__XY10_crop12__Track_15,20240809,1.3,1080,200,XY10_crop12,Track_15,2,1,3,1050,2.0181427001953125,1080,2.303605794906616,30,0.2854630947113037,0.00951543649037679
100,20240809__XY10_crop12__Track_15,20240809,1.3,1080,635,XY10_crop12,Track_15,3,2,0,635,2.244147777557373,895,5.201624393463135,260,2.9574766159057617,0.011374910061176007
101,20240809__XY10_crop12__Track_15,20240809,1.3,1080,635,XY10_crop12,Track_15,3,2,1,900,2.6514899730682373,1080,4.982579708099365,180,2.331089735031128,0.01295049852795071
102,20240809__XY10_crop12__Track_15,20240809,1.3,1080,640,XY10_crop12,Track_15,4,1,0,640,1.7681910991668701,915,4.338963031768799,275,2.5707719326019287,0.009348261573097923
103,20240809__XY10_crop12__Track_15,20240809,1.3,1080,640,XY10_crop12,Track_15,4,1,1,920,2.144014835357666,1080,3.441932439804077,160,1.2979176044464111,0.00811198502779007
104,20240809__XY10_crop12__Track_15,20240809,1.3,1080,895,XY10_crop12,Track_15,5,2,0,895,2.3970813751220703,1080,4.596193790435791,185,2.1991124153137207,0.011887094136830922
105,20240809__XY10_crop12__Track_15,20240809,1.3,1080,900,XY10_crop12,Track_15,6,3,0,900,2.6514899730682373,1080,4.7249226570129395,180,2.073432683944702,0.011519070466359456
106,20240809__XY10_crop12__Track_15,20240809,1.3,1080,895,XY10_crop12,Track_15,7,1,0,895,2.2703521251678467,1050,3.8256239891052246,155,1.555271863937378,0.010034012025402439
107,20240809__XY10_crop12__Track_15,20240809,1.3,1080,895,XY10_crop12,Track_15,7,1,1,1055,1.8928284645080566,1080,1.9325889348983765,25,0.039760470390319824,0.001590418815612793
108,20240809__XY10_crop12__Track_15,20240809,1.3,1080,920,XY10_crop12,Track_15,8,4,0,920,2.2703521251678467,1080,3.9194514751434326,160,1.649099349975586,0.010306870937347412
109,20240809__XY10_crop12__Track_15,20240809,1.3,1080,1050,XY10_crop12,Track_15,9,2,0,1050,2.0181427001953125,1080,2.144014835357666,30,0.12587213516235352,0.004195737838745117
110,20240809__XY10_crop12__Track_15,20240809,1.3,1080,1055,XY10_crop12,Track_15,10,7,0,1055,2.0181427001953125,1080,1.9886175394058228,25,-0.029525160789489746,-0.0011810064315795898
111,20240809__XY10_crop11__Track_8,20240809,1.3,1080,0,XY10_crop11,Track_8,1,0,0,0,1.7681910991668701,325,3.260383367538452,325,1.492192268371582,0.004591360825758714
112,20240809__XY10_crop11__Track_8,20240809,1.3,1080,0,XY10_crop11,Track_8,1,0,1,330,1.7344162464141846,475,3.260383367538452,145,1.5259671211242676,0.010523911180167362
113,20240809__XY10_crop11__Track_8,20240809,1.3,1080,0,XY10_crop11,Track_8,1,0,2,480,1.8613166809082031,800,3.9537954330444336,320,2.0924787521362305,0.00653899610042572
114,20240809__XY10_crop11__Track_8,20240809,1.3,1080,0,XY10_crop11,Track_8,1,0,3,805,2.37227725982666,1060,4.596193790435791,255,2.223916530609131,0.008721241296506395
115,20240809__XY10_crop11__Track_8,20240809,1.3,1080,0,XY10_crop11,Track_8,1,0,4,1065,2.629087209701538,1080,2.6514899730682373,15,0.02240276336669922,0.0014935175577799479
116,20240809__XY10_crop11__Track_8,20240809,1.3,1080,330,XY10_crop11,Track_8,2,1,0,330,1.581518292427063,480,3.697580099105835,150,2.116061806678772,0.014107078711191812
117,20240809__XY10_crop11__Track_8,20240809,1.3,1080,330,XY10_crop11,Track_8,2,1,1,485,2.0181427001953125,630,3.697580099105835,145,1.6794373989105225,0.011582326889038087
118,20240809__XY10_crop11__Track_8,20240809,1.3,1080,330,XY10_crop11,Track_8,2,1,2,635,1.9325889348983765,875,3.9772350788116455,240,2.044646143913269,0.008519358932971954
119,20240809__XY10_crop11__Track_8,20240809,1.3,1080,330,XY10_crop11,Track_8,2,1,3,880,2.244147777557373,1010,3.548309326171875,130,1.304161548614502,0.010032011912419246
120,20240809__XY10_crop11__Track_8,20240809,1.3,1080,330,XY10_crop11,Track_8,2,1,4,1015,1.9325889348983765,1080,2.303605794906616,65,0.37101686000823975,0.005707951692434458
121,20240809__XY10_crop11__Track_8,20240809,1.3,1080,480,XY10_crop11,Track_8,3,1,0,480,1.4822280406951904,750,3.649273633956909,270,2.1670455932617188,0.008026094789858218
122,20240809__XY10_crop11__Track_8,20240809,1.3,1080,480,XY10_crop11,Track_8,3,1,1,755,1.7344162464141846,990,3.441932439804077,235,1.7075161933898926,0.0072660263548506064
123,20240809__XY10_crop11__Track_8,20240809,1.3,1080,480,XY10_crop11,Track_8,3,1,2,995,1.8106904029846191,1080,2.3436081409454346,85,0.5329177379608154,0.006269620446597828
124,20240809__XY10_crop11__Track_8,20240809,1.3,1080,485,XY10_crop11,Track_8,4,2,0,485,1.8613166809082031,595,3.3143625259399414,110,1.4530458450317383,0.013209507682106712
125,20240809__XY10_crop11__Track_8,20240809,1.3,1080,485,XY10_crop11,Track_8,4,2,1,600,1.6899999380111694,940,3.5696778297424316,340,1.8796778917312622,0.005528464387444889
126,20240809__XY10_crop11__Track_8,20240809,1.3,1080,485,XY10_crop11,Track_8,4,2,2,945,1.7681910991668701,1080,3.3143625259399414,135,1.5461714267730713,0.011453121679800529
127,20240809__XY10_crop11__Track_8,20240809,1.3,1080,600,XY10_crop11,Track_8,5,4,0,600,1.7344162464141846,855,3.090064525604248,255,1.3556482791900635,0.005316267761529661
128,20240809__XY10_crop11__Track_8,20240809,1.3,1080,600,XY10_crop11,Track_8,5,4,1,860,1.5216108560562134,1080,3.0348806381225586,220,1.5132697820663452,0.006878499009392478
129,20240809__XY10_crop11__Track_8,20240809,1.3,1080,635,XY10_crop11,Track_8,6,2,0,635,1.7681910991668701,835,3.342289686203003,200,1.5740985870361328,0.007870492935180664
130,20240809__XY10_crop11__Track_8,20240809,1.3,1080,635,XY10_crop11,Track_8,6,2,1,840,1.7681910991668701,1075,4.082082748413086,235,2.313891649246216,0.009846347443600918
131,20240809__XY10_crop11__Track_8,20240809,1.3,1080,635,XY10_crop11,Track_8,6,2,2,1080,2.2703521251678467,1080,2.2703521251678467,0,0.0,
132,20240809__XY10_crop11__Track_8,20240809,1.3,1080,755,XY10_crop11,Track_8,7,3,0,755,2.179196834564209,945,3.9021658897399902,190,1.7229690551757812,0.00906825818513569
133,20240809__XY10_crop11__Track_8,20240809,1.3,1080,755,XY10_crop11,Track_8,7,3,1,950,1.7681910991668701,1080,2.806313991546631,130,1.0381228923797607,0.007985560710613545
134,20240809__XY10_crop11__Track_8,20240809,1.3,1080,805,XY10_crop11,Track_8,8,1,0,805,1.8106904029846191,940,2.680018663406372,135,0.8693282604217529,0.006439468595716688
135,20240809__XY10_crop11__Track_8,20240809,1.3,1080,805,XY10_crop11,Track_8,8,1,1,945,1.4534441232681274,1080,1.9801009893417358,135,0.5266568660736084,0.0039011619709156176
136,20240809__XY10_crop11__Track_8,20240809,1.3,1080,840,XY10_crop11,Track_8,9,6,0,840,1.7344162464141846,1030,3.3143625259399414,190,1.5799462795257568,0.00831550673434609
137,20240809__XY10_crop11__Track_8,20240809,1.3,1080,840,XY10_crop11,Track_8,9,6,1,1035,1.7098829746246338,1080,1.9325889348983765,45,0.22270596027374268,0.004949021339416504
138,20240809__XY10_crop11__Track_8,20240809,1.3,1080,860,XY10_crop11,Track_8,10,5,0,860,1.8106904029846191,1075,3.676955223083496,215,1.866264820098877,0.008680301488831987
139,20240809__XY10_crop11__Track_8,20240809,1.3,1080,860,XY10_crop11,Track_8,10,5,1,1080,1.7344162464141846,1080,1.7344162464141846,0,0.0,
140,20240809__XY10_crop11__Track_8,20240809,1.3,1080,880,XY10_crop11,Track_8,11,2,0,880,1.9886175394058228,965,2.9329335689544678,85,0.944316029548645,0.011109600347631117
141,20240809__XY10_crop11__Track_8,20240809,1.3,1080,880,XY10_crop11,Track_8,11,2,1,970,1.4822280406951904,1080,2.2214407920837402,110,0.7392127513885498,0.006720115921714089
142,20240809__XY10_crop11__Track_8,20240809,1.3,1080,945,XY10_crop11,Track_8,12,4,0,945,1.8928284645080566,1080,3.3143625259399414,135,1.4215340614318848,0.01052988193653248
143,20240809__XY10_crop11__Track_8,20240809,1.3,1080,950,XY10_crop11,Track_8,13,7,0,950,2.2703521251678467,1080,3.163036584854126,130,0.8926844596862793,0.006866803536048302
144,20240809__XY10_crop11__Track_8,20240809,1.3,1080,945,XY10_crop11,Track_8,14,8,0,945,1.5707958936691284,1080,2.1002142429351807,135,0.5294183492660522,0.0039216174019707575
145,20240809__XY10_crop11__Track_8,20240809,1.3,1080,970,XY10_crop11,Track_8,15,11,0,970,1.6443843841552734,1080,2.179196834564209,110,0.5348124504089355,0.00486193136735396
